numero_agentes,porcentaje_celdas_limpias,numero_steps,tiempo_ejecucion
3,100,216,0.133502
3,100,194,0.106915
3,100,191,0.105101
3,100,272,0.148933
3,100,261,0.148028
3,100,152,0.088122
3,100,172,0.102275
3,100,202,0.118706
3,100,197,0.110651
3,100,214,0.129075
10,100,61,0.047698
10,100,142,0.098908
10,100,76,0.05852
10,100,81,0.05736
10,100,34,0.025261
10,100,53,0.045195
10,100,69,0.04472
10,100,74,0.052921
10,100,46,0.033886
10,100,59,0.046314
30,100,26,0.02596
30,100,23,0.059588
30,100,35,0.04257
30,100,22,0.037522
30,100,31,0.030533
30,100,47,0.051286
30,100,20,0.032489
30,100,26,0.035095
30,100,27,0.049029
30,100,30,0.040283
